cfg	leverage	horizon_d	n	auto_mean	reverse_mean	real_mean	real_side	in_bracket_rate
W10.0_N80_close	30	1	186	-0.02223287621949815	-0.0033196648440838128	-0.02208166447050624	auto側(負)	0.956989247311828
W10.0_N80_close	30	7	186	-0.122188639715402	-0.05928340560267418	-0.12181140128294227	auto側(負)	0.8870967741935484
W10.0_N80_hold	3	1	186	-0.001606150227202104	0.0006048543474809233	-0.0015835903280085615	auto側(負)	0.9623655913978495
W10.0_N80_hold	3	7	186	-0.012676709975463834	-0.0031394152769715655	-0.012604493381713844	auto側(負)	0.8978494623655914
W10.0_N80_hold	5	1	186	-0.0026769170453368497	0.001008090579134873	-0.0026393172133476095	auto側(負)	0.9623655913978495
W10.0_N80_hold	5	7	186	-0.021127849959106406	-0.005232358794952605	-0.021007488969523095	auto側(負)	0.8978494623655914
W10.0_N80_hold	10	1	186	-0.0053538340906737125	0.002016181158269754	-0.005278634426695223	auto側(負)	0.9623655913978495
W10.0_N80_hold	10	7	186	-0.06233722434707414	-0.023639671206115133	-0.06210189567267902	auto側(負)	0.8978494623655914
W10.0_N80_hold	15	1	186	-0.00803075113601056	0.0030242717374046333	-0.007917951640042832	auto側(負)	0.9623655913978495
W10.0_N80_hold	15	7	186	-0.1053176715500491	-0.06151676223301283	-0.10498082158281126	auto側(負)	0.9032258064516129
W10.0_N80_hold	30	1	186	-0.03207922017724269	-0.01345730356673906	-0.03193114195143619	auto側(負)	0.967741935483871
